,year_income,state_id,median_income
0,1990,AL,42607
1,1990,AK,71686
2,1990,AZ,53309
3,1990,AR,41565
4,1990,CA,60726
5,1990,CO,56062
6,1990,CT,70905
7,1990,DE,56191
8,1990,D.C,49967
9,1990,FL,48678
10,1990,GA,50275
11,1990,HI,70998
12,1990,ID,46160
13,1990,IL,59362
14,1990,IN,49121
15,1990,IA,49778
16,1990,KS,54573
17,1990,LA,40870
18,1990,KY,45203
19,1990,ME,50099
20,1990,MD,70881
21,1990,MA,66120
22,1990,MI,54610
23,1990,MN,57397
24,1990,MS,36808
25,1990,MO,49858
26,1990,MT,42640
27,1990,NE,50131
28,1990,NV,58415
29,1990,NH,74435
30,1990,NJ,70657
31,1990,NM,45675
32,1990,NY,57627
33,1990,NC,48028
34,1990,ND,46085
35,1990,OH,54748
36,1990,OK,44480
37,1990,OR,53413
38,1990,PA,52910
39,1990,RI,58315
40,1990,SC,52417
41,1990,SD,44821
42,1990,TN,41211
43,1990,TX,51492
44,1990,UT,54984
45,1990,VT,56728
46,1990,VA,63979
47,1990,WA,58577
48,1990,WV,40381
49,1990,WI,56022
50,1990,WY,53740
51,1991,AL,42852
52,1991,AK,71482
53,1991,AZ,54101
54,1991,AR,41248
55,1991,CA,59253
56,1991,CO,55442
57,1991,CT,74196
58,1991,DE,57353
59,1991,D.C,52601
60,1991,FL,47967
61,1991,GA,47896
62,1991,HI,65557
63,1991,ID,45967
64,1991,IL,56120
65,1991,IN,47680
66,1991,IA,50257
67,1991,KS,51563
68,1991,LA,44529
69,1991,KY,41827
70,1991,ME,49051
71,1991,MD,65040
72,1991,MA,62861
73,1991,MI,56530
74,1991,MN,51886
75,1991,MS,34278
76,1991,MO,49153
77,1991,MT,43698
78,1991,NE,52010
79,1991,NV,57973
80,1991,NH,63421
81,1991,NJ,70491
82,1991,NM,46714
83,1991,NY,55961
84,1991,NC,47264
85,1991,ND,45573
86,1991,OH,52434
87,1991,OK,44816
88,1991,OR,53138
89,1991,PA,53449
90,1991,RI,54275
91,1991,SC,48338
92,1991,SD,43368
93,1991,TN,43040
94,1991,TX,48813
95,1991,UT,49311
96,1991,VT,51316
97,1991,VA,63605
98,1991,WA,59791
99,1991,WV,40741
100,1991,WI,54798
101,1991,WY,51131
102,1992,AL,44323
103,1992,AK,71791
104,1992,AZ,50420
105,1992,AR,41015
106,1992,CA,59943
107,1992,CO,55788
108,1992,CT,70141
109,1992,DE,61274
110,1992,D.C,51947
111,1992,FL,46970
112,1992,GA,49456
113,1992,HI,72325
114,1992,ID,47579
115,1992,IL,54186
116,1992,IN,48998
117,1992,IA,49364
118,1992,KS,52117
119,1992,LA,43689
120,1992,KY,40333
121,1992,ME,50865
122,1992,MD,63893
123,1992,MA,62443
124,1992,MI,55416
125,1992,MN,53207
126,1992,MS,35327
127,1992,MO,46990
128,1992,MT,45554
129,1992,NE,51605
130,1992,NV,54799
131,1992,NH,67728
132,1992,NJ,66979
133,1992,NM,44412
134,1992,NY,53327
135,1992,NC,47694
136,1992,ND,46300
137,1992,OH,53934
138,1992,OK,43423
139,1992,OR,54832
140,1992,PA,51320
141,1992,RI,52264
142,1992,SC,47363
143,1992,SD,45098
144,1992,TN,41764
145,1992,TX,48007
146,1992,UT,58823
147,1992,VT,56254
148,1992,VA,65602
149,1992,WA,58220
150,1992,WV,34814
151,1992,WI,57204
152,1992,WY,51881
153,1993,AL,42017
154,1993,AK,71917
155,1993,AZ,51110
156,1993,AR,38594
157,1993,CA,57078
158,1993,CO,57773
159,1993,CT,66196
160,1993,DE,60413
161,1993,D.C,45739
162,1993,FL,47826
163,1993,GA,53041
164,1993,HI,71466
165,1993,ID,51947
166,1993,IL,55041
167,1993,IN,49376
168,1993,IA,48016
169,1993,KS,49870
170,1993,LA,44077
171,1993,KY,40834
172,1993,ME,45963
173,1993,MD,66905
174,1993,MA,62089
175,1993,MI,54715
176,1993,MN,56423
177,1993,MS,37174
178,1993,MO,48047
179,1993,MT,44342
180,1993,NE,51944
181,1993,NV,59995
182,1993,NH,63596
183,1993,NJ,67845
184,1993,NM,44824
185,1993,NY,53098
186,1993,NC,48279
187,1993,ND,47103
188,1993,OH,52408
189,1993,OK,43990
190,1993,OR,55512
191,1993,PA,51922
192,1993,RI,56133
193,1993,SC,43643
194,1993,SD,46464
195,1993,TN,42050
196,1993,TX,48123
197,1993,UT,59948
198,1993,VT,52039
199,1993,VA,61032
200,1993,WA,59728
201,1993,WV,37559
202,1993,WI,53214
203,1993,WY,49320
204,1994,AL,44626
205,1994,AK,74443
206,1994,AZ,51349
207,1994,AR,41950
208,1994,CA,57975
209,1994,CO,62081
210,1994,CT,67436
211,1994,DE,58864
212,1994,D.C,49418
