YEAR,STATE,STATE_id,Median_Income
1994,Lousiana,LA,42132
1994,Kentucky,KY,43640
1994,Maine,ME,49746
1994,Maryland,MD,64320
1994,Massachusetts,MA,66457
1994,Michigan,MI,57898
1994,Minnesota,MN,55207
1994,Mississippi,MS,41679
1994,Missouri,MO,49539
1994,Montana,MT,45340
1994,Nebraska,NE,52171
1994,Nevada,NV,58861
1994,New Hampshire,NH,57834
1994,New Jersey,NJ,69378
1994,New Mexico,NM,44149
1994,New York,NY,52343
1994,North Carolina,NC,49414
1994,North Dakota,ND,46402
1994,Ohio,OH,52271
1994,Oklahoma,OK,44290
1994,Oregon,OR,51616
1994,Pennsylvania,PA,52617
1994,Rhode Island,RI,52391
1994,South Carolina,SC,48975
1994,South Dakota,SD,48789
1994,Tennesse,TN,46994
1994,Texas,TX,50466
1994,Utah,UT,58607
1994,Vermont,VT,58748
1994,Virginia,VA,61775
1994,Washington,WA,55025
1994,West Virginia,WV,38666
1994,Wisconsin,WI,58068
1994,Wyoming,WY,54380
1995,Alaska,AL,41646
1995,Alabama,AK,76837
1995,Arizona,AZ,49452
1995,Arkansas,AR,41362
1995,California,CA,59300
1995,Colorado,CO,65224
1995,Connecticut,CT,64482
1995,Delaware,DE,55965
1995,DC,D.C,49268
1995,Florida,FL,47661
1995,Georgia,GA,54637
1995,Hawaii,HI,68661
1995,Idaho,ID,52357
1995,Illinois,IL,61001
1995,Indiana,IN,53493
1995,Iowa,IA,56912
1995,Kansas,KS,48616
1995,Lousiana,LA,44783
1995,Kentucky,KY,47765
1995,Maine,ME,54251
1995,Maryland,MD,65760
1995,Massachusetts,MA,61807
1995,Michigan,MI,58366
1995,Minnesota,MN,60780
1995,Mississippi,MS,42522
1995,Missouri,MO,55800
1995,Montana,MT,44475
1995,Nebraska,NE,52762
1995,Nevada,NV,57818
1995,New Hampshire,NH,62764
1995,New Jersey,NJ,70380
1995,New Mexico,NM,41646
1995,New York,NY,52921
1995,North Carolina,NC,51240
1995,North Dakota,ND,46610
1995,Ohio,OH,55986
1995,Oklahoma,OK,42158
1995,Oregon,OR,58282
1995,Pennsylvania,PA,55318
1995,Rhode Island,RI,56656
1995,South Carolina,SC,46581
1995,South Dakota,SD,47393
1995,Tennesse,TN,46491
1995,Texas,TX,51336
1995,Utah,UT,58452
1995,Vermont,VT,54196
1995,Virginia,VA,58039
1995,Washington,WA,56991
1995,West Virginia,WV,39865
1995,Wisconsin,WI,65623
1995,Wyoming,WY,50519
1996,Alaska,AL,47294
1996,Alabama,AK,82374
1996,Arizona,AZ,49377
1996,Arkansas,AR,42332
1996,California,CA,60576
1996,Colorado,CO,63912
1996,Connecticut,CT,65737
1996,Delaware,DE,61351
1996,DC,D.C,49891
1996,Florida,FL,47823
1996,Georgia,GA,50718
1996,Hawaii,HI,65195
1996,Idaho,ID,54172
1996,Illinois,IL,61734
1996,Indiana,IN,54855
1996,Iowa,IA,51831
1996,Kansas,KS,50857
1996,Lousiana,LA,47231
1996,Kentucky,KY,50588
1996,Maine,ME,54152
1996,Maryland,MD,68662
1996,Massachusetts,MA,61640
1996,Michigan,MI,61220
1996,Minnesota,MN,63976
1996,Mississippi,MS,41636
1996,Missouri,MO,53479
1996,Montana,MT,44768
1996,Nebraska,NE,53087
1996,Nevada,NV,60151
1996,New Hampshire,NH,61504
1996,New Jersey,NJ,74085
1996,New Mexico,NM,39153
1996,New York,NY,55266
1996,North Carolina,NC,55564
1996,North Dakota,ND,49117
1996,Ohio,OH,53175
1996,Oklahoma,OK,42822
1996,Oregon,OR,55394
1996,Pennsylvania,PA,54468
1996,Rhode Island,RI,57726
1996,South Carolina,SC,54103
1996,South Dakota,SD,46083
1996,Tennesse,TN,48055
1996,Texas,TX,51617
1996,Utah,UT,57807
1996,Vermont,VT,50503
1996,Virginia,VA,61198
1996,Washington,WA,57242
1996,West Virginia,WV,39404
1996,Wisconsin,WI,62431
1996,Wyoming,WY,48310
1997,Alaska,AL,48794
