,YEAR,STATE_id,STATE,POPULATION
1405,2015,PA,Pennsylvania,12784826
1406,2016,PA,Pennsylvania,12782275
1407,2017,PA,Pennsylvania,12787641
1408,2018,PA,Pennsylvania,12800922
1409,2019,PA,Pennsylvania,12801989
1410,2010,RI,Rhode Island,1053959
1411,2011,RI,Rhode Island,1053649
1412,2012,RI,Rhode Island,1054621
1413,2013,RI,Rhode Island,1055081
1414,2014,RI,Rhode Island,1055936
1415,2015,RI,Rhode Island,1056065
1416,2016,RI,Rhode Island,1056770
1417,2017,RI,Rhode Island,1055673
1418,2018,RI,Rhode Island,1058287
1419,2019,RI,Rhode Island,1059361
1420,2010,SC,South Carolina,4635649
1421,2011,SC,South Carolina,4671994
1422,2012,SC,South Carolina,4717354
1423,2013,SC,South Carolina,4764080
1424,2014,SC,South Carolina,4823617
1425,2015,SC,South Carolina,4891938
1426,2016,SC,South Carolina,4957968
1427,2017,SC,South Carolina,5021268
1428,2018,SC,South Carolina,5084156
1429,2019,SC,South Carolina,5148714
1430,2010,SD,South Dakota,816166
1431,2011,SD,South Dakota,823579
1432,2012,SD,South Dakota,833566
1433,2013,SD,South Dakota,842316
1434,2014,SD,South Dakota,849129
1435,2015,SD,South Dakota,853988
1436,2016,SD,South Dakota,862996
1437,2017,SD,South Dakota,872868
1438,2018,SD,South Dakota,878698
1439,2019,SD,South Dakota,884659
1440,2010,TN,Tennesse,6355311
1441,2011,TN,Tennesse,6399291
1442,2012,TN,Tennesse,6453898
1443,2013,TN,Tennesse,6494340
1444,2014,TN,Tennesse,6541223
1445,2015,TN,Tennesse,6591170
1446,2016,TN,Tennesse,6646010
1447,2017,TN,Tennesse,6708799
1448,2018,TN,Tennesse,6771631
1449,2019,TN,Tennesse,6829174
1450,2010,TX,Texas,25241971
1451,2011,TX,Texas,25645629
1452,2012,TX,Texas,26084481
1453,2013,TX,Texas,26480266
1454,2014,TX,Texas,26964333
1455,2015,TX,Texas,27470056
1456,2016,TX,Texas,27914410
1457,2017,TX,Texas,28295273
1458,2018,TX,Texas,28628666
1459,2019,TX,Texas,28995881
1460,2010,UT,Utah,2775332
1461,2011,UT,Utah,2814384
1462,2012,UT,Utah,2853375
1463,2013,UT,Utah,2897640
1464,2014,UT,Utah,2936879
1465,2015,UT,Utah,2981835
1466,2016,UT,Utah,3041868
1467,2017,UT,Utah,3101042
1468,2018,UT,Utah,3153550
1469,2019,UT,Utah,3205958
1470,2010,VT,Vermont,625879
1471,2011,VT,Vermont,627049
1472,2012,VT,Vermont,626090
1473,2013,VT,Vermont,626210
1474,2014,VT,Vermont,625214
1475,2015,VT,Vermont,625216
1476,2016,VT,Vermont,623657
1477,2017,VT,Vermont,624344
1478,2018,VT,Vermont,624358
1479,2019,VT,Vermont,623989
1480,2010,VA,Virginia,8023699
1481,2011,VA,Virginia,8101155
1482,2012,VA,Virginia,8185080
1483,2013,VA,Virginia,8252427
1484,2014,VA,Virginia,8310993
1485,2015,VA,Virginia,8361808
1486,2016,VA,Virginia,8410106
1487,2017,VA,Virginia,8463587
1488,2018,VA,Virginia,8501286
1489,2019,VA,Virginia,8535519
1490,2010,WA,Washington,6742830
1491,2011,WA,Washington,6826627
1492,2012,WA,Washington,6897058
1493,2013,WA,Washington,6963985
1494,2014,WA,Washington,7054655
1495,2015,WA,Washington,7163657
1496,2016,WA,Washington,7294771
1497,2017,WA,Washington,7423362
1498,2018,WA,Washington,7523869
1499,2019,WA,Washington,7614893
1500,2010,WV,West Virginia,1854239
1501,2011,WV,West Virginia,1856301
1502,2012,WV,West Virginia,1856872
1503,2013,WV,West Virginia,1853914
1504,2014,WV,West Virginia,1849489
1505,2015,WV,West Virginia,1842050
1506,2016,WV,West Virginia,1831023
1507,2017,WV,West Virginia,1817004
1508,2018,WV,West Virginia,1804291
1509,2019,WV,West Virginia,1792147
1510,2010,WI,Wisconsin,5690475
1511,2011,WI,Wisconsin,5705288
1512,2012,WI,Wisconsin,5719960
1513,2013,WI,Wisconsin,5736754
1514,2014,WI,Wisconsin,5751525
1515,2015,WI,Wisconsin,5760940
1516,2016,WI,Wisconsin,5772628
1517,2017,WI,Wisconsin,5790186
1518,2018,WI,Wisconsin,5807406
1519,2019,WI,Wisconsin,5822434
1520,2010,WY,Wyoming,564487
1521,2011,WY,Wyoming,567299
1522,2012,WY,Wyoming,576305
1523,2013,WY,Wyoming,582122
1524,2014,WY,Wyoming,582531
1525,2015,WY,Wyoming,585613
1526,2016,WY,Wyoming,584215
1527,2017,WY,Wyoming,578931
1528,2018,WY,Wyoming,577601
1529,2019,WY,Wyoming,578759
