,year_income,State_income,STATE_id,Median_Income
193,1993,South Carolina,SC,43643
194,1993,South Dakota,SD,46464
195,1993,Tennesse,TN,42050
196,1993,Texas,TX,48123
197,1993,Utah,UT,59948
198,1993,Vermont,VT,52039
199,1993,Virginia,VA,61032
200,1993,Washington,WA,59728
201,1993,West Virginia,WV,37559
202,1993,Wisconsin,WI,53214
203,1993,Wyoming,WY,49320
204,1994,Alaska,AK,44626
205,1994,Alabama,AL,74443
206,1994,Arizona,AZ,51349
207,1994,Arkansas,AR,41950
208,1994,California,CA,57975
209,1994,Colorado,CO,62081
210,1994,Connecticut,CT,67436
211,1994,Delaware,DE,58864
212,1994,DC,D.C,49418
213,1994,Florida,FL,48069
214,1994,Georgia,GA,51634
215,1994,Hawaii,HI,69337
216,1994,Idaho,ID,51748
217,1994,Illinois,IL,57565
218,1994,Indiana,IN,45712
219,1994,Iowa,IA,54280
220,1994,Kansas,KS,46474
221,1994,Lousiana,LA,42132
222,1994,Kentucky,KY,43640
223,1994,Maine,ME,49746
224,1994,Maryland,MD,64320
225,1994,Massachusetts,MA,66457
226,1994,Michigan,MI,57898
227,1994,Minnesota,MN,55207
228,1994,Mississippi,MS,41679
229,1994,Missouri,MO,49539
230,1994,Montana,MT,45340
231,1994,Nebraska,NE,52171
232,1994,Nevada,NV,58861
233,1994,New Hampshire,NH,57834
234,1994,New Jersey,NJ,69378
235,1994,New Mexico,NM,44149
236,1994,New York,NY,52343
237,1994,North Carolina,NC,49414
238,1994,North Dakota,ND,46402
239,1994,Ohio,OH,52271
240,1994,Oklahoma,OK,44290
241,1994,Oregon,OR,51616
242,1994,Pennsylvania,PA,52617
243,1994,Rhode Island,RI,52391
244,1994,South Carolina,SC,48975
245,1994,South Dakota,SD,48789
246,1994,Tennesse,TN,46994
247,1994,Texas,TX,50466
248,1994,Utah,UT,58607
249,1994,Vermont,VT,58748
250,1994,Virginia,VA,61775
251,1994,Washington,WA,55025
252,1994,West Virginia,WV,38666
253,1994,Wisconsin,WI,58068
254,1994,Wyoming,WY,54380
255,1995,Alaska,AK,41646
256,1995,Alabama,AL,76837
257,1995,Arizona,AZ,49452
258,1995,Arkansas,AR,41362
259,1995,California,CA,59300
260,1995,Colorado,CO,65224
261,1995,Connecticut,CT,64482
262,1995,Delaware,DE,55965
263,1995,DC,D.C,49268
264,1995,Florida,FL,47661
265,1995,Georgia,GA,54637
266,1995,Hawaii,HI,68661
267,1995,Idaho,ID,52357
268,1995,Illinois,IL,61001
269,1995,Indiana,IN,53493
270,1995,Iowa,IA,56912
271,1995,Kansas,KS,48616
272,1995,Lousiana,LA,44783
273,1995,Kentucky,KY,47765
274,1995,Maine,ME,54251
275,1995,Maryland,MD,65760
276,1995,Massachusetts,MA,61807
277,1995,Michigan,MI,58366
278,1995,Minnesota,MN,60780
279,1995,Mississippi,MS,42522
280,1995,Missouri,MO,55800
281,1995,Montana,MT,44475
282,1995,Nebraska,NE,52762
283,1995,Nevada,NV,57818
284,1995,New Hampshire,NH,62764
285,1995,New Jersey,NJ,70380
286,1995,New Mexico,NM,41646
287,1995,New York,NY,52921
288,1995,North Carolina,NC,51240
289,1995,North Dakota,ND,46610
290,1995,Ohio,OH,55986
291,1995,Oklahoma,OK,42158
292,1995,Oregon,OR,58282
293,1995,Pennsylvania,PA,55318
294,1995,Rhode Island,RI,56656
295,1995,South Carolina,SC,46581
296,1995,South Dakota,SD,47393
297,1995,Tennesse,TN,46491
298,1995,Texas,TX,51336
299,1995,Utah,UT,58452
300,1995,Vermont,VT,54196
301,1995,Virginia,VA,58039
302,1995,Washington,WA,56991
303,1995,West Virginia,WV,39865
304,1995,Wisconsin,WI,65623
305,1995,Wyoming,WY,50519
306,1996,Alaska,AK,47294
307,1996,Alabama,AL,82374
308,1996,Arizona,AZ,49377
309,1996,Arkansas,AR,42332
310,1996,California,CA,60576
311,1996,Colorado,CO,63912
312,1996,Connecticut,CT,65737
313,1996,Delaware,DE,61351
314,1996,DC,D.C,49891
315,1996,Florida,FL,47823
316,1996,Georgia,GA,50718
317,1996,Hawaii,HI,65195
318,1996,Idaho,ID,54172
319,1996,Illinois,IL,61734
320,1996,Indiana,IN,54855
321,1996,Iowa,IA,51831
322,1996,Kansas,KS,50857
323,1996,Lousiana,LA,47231
324,1996,Kentucky,KY,50588
325,1996,Maine,ME,54152
326,1996,Maryland,MD,68662
327,1996,Massachusetts,MA,61640
328,1996,Michigan,MI,61220
329,1996,Minnesota,MN,63976
330,1996,Mississippi,MS,41636
331,1996,Missouri,MO,53479
332,1996,Montana,MT,44768
333,1996,Nebraska,NE,53087
334,1996,Nevada,NV,60151
335,1996,New Hampshire,NH,61504
336,1996,New Jersey,NJ,74085
337,1996,New Mexico,NM,39153
338,1996,New York,NY,55266
339,1996,North Carolina,NC,55564
340,1996,North Dakota,ND,49117
341,1996,Ohio,OH,53175
342,1996,Oklahoma,OK,42822
343,1996,Oregon,OR,55394
344,1996,Pennsylvania,PA,54468
345,1996,Rhode Island,RI,57726
346,1996,South Carolina,SC,54103
347,1996,South Dakota,SD,46083
348,1996,Tennesse,TN,48055
349,1996,Texas,TX,51617
350,1996,Utah,UT,57807
351,1996,Vermont,VT,50503
352,1996,Virginia,VA,61198
353,1996,Washington,WA,57242
354,1996,West Virginia,WV,39404
355,1996,Wisconsin,WI,62431
356,1996,Wyoming,WY,48310
357,1997,Alaska,AK,48794
358,1997,Alabama,AL,73321
359,1997,Arizona,AZ,50018
360,1997,Arkansas,AR,39968
361,1997,California,CA,60641
362,1997,Colorado,CO,66048
363,1997,Connecticut,CT,67197
364,1997,Delaware,DE,65742
365,1997,DC,D.C,48673
366,1997,Florida,FL,49582
367,1997,Georgia,GA,56011
368,1997,Hawaii,HI,62536
369,1997,Idaho,ID,51032
370,1997,Illinois,IL,63069
371,1997,Indiana,IN,59411
372,1997,Iowa,IA,51611
373,1997,Kansas,KS,55717
374,1997,Lousiana,LA,50812
375,1997,Kentucky,KY,51105
376,1997,Maine,ME,50066
377,1997,Maryland,MD,71322
378,1997,Massachusetts,MA,64199
379,1997,Michigan,MI,59187
380,1997,Minnesota,MN,65026
381,1997,Mississippi,MS,43538
382,1997,Missouri,MO,55843
383,1997,Montana,MT,44628
384,1997,Nebraska,NE,53000
385,1997,Nevada,NV,59358
386,1997,New Hampshire,NH,62633
387,1997,New Jersey,NJ,73363
388,1997,New Mexico,NM,45963
389,1997,New York,NY,54689
390,1997,North Carolina,NC,54753
391,1997,North Dakota,ND,48369
392,1997,Ohio,OH,55203
393,1997,Oklahoma,OK,47896
394,1997,Oregon,OR,56903
395,1997,Pennsylvania,PA,57315
396,1997,Rhode Island,RI,53160
397,1997,South Carolina,SC,52343
398,1997,South Dakota,SD,45364
399,1997,Tennesse,TN,46803
400,1997,Texas,TX,53585
401,1997,Utah,UT,65348
402,1997,Vermont,VT,53551
403,1997,Virginia,VA,65626
404,1997,Washington,WA,68078
405,1997,West Virginia,WV,41994
406,1997,Wisconsin,WI,60490
407,1997,Wyoming,WY,51061
408,1998,Alaska,AK,54664
409,1998,Alabama,AL,76408
410,1998,Arizona,AZ,55906
411,1998,Arkansas,AR,41700
412,1998,California,CA,61700
413,1998,Colorado,CO,70239
414,1998,Connecticut,CT,70102
415,1998,Delaware,DE,62490
416,1998,DC,D.C,50394
417,1998,Florida,FL,52619
418,1998,Georgia,GA,58280
419,1998,Hawaii,HI,61539
420,1998,Idaho,ID,55288
421,1998,Illinois,IL,65082
422,1998,Indiana,IN,59887
423,1998,Iowa,IA,55799
424,1998,Kansas,KS,55335
425,1998,Lousiana,LA,47834
426,1998,Kentucky,KY,54643
427,1998,Maine,ME,53720
428,1998,Maryland,MD,75389
